PRICE,AREA
60 L,920
82 L,1000
82 L,1220
80 L,950
80 L,1220
62 L,920
1.07 Cr,1435
1.04 Cr,1435
86 L,1187
1 Cr,1435
1.12 Cr,1100
1.3 Cr,1737
1.28 Cr,1737
1.32 Cr,1737
1.14 Cr,1150
1.28 Cr,1450
84 L,1200
1.1 Cr,1100
1.15 Cr,1150
1 Cr,1557
1.7 Cr,2000
1.34 Cr,1450
1.35 Cr,1450
78 L,950
85 L,1187
1.55 Cr,2032
95 L,1475
1.75 Cr,1800
1.15 Cr,1719
1.8 Cr,2100
48 L,1100
39.5 L,941
28.51 L,792
38.84 L,1079
28 L,1000
35 L,900
76 L,1377
40 L,925
36.5 L,1101
36 L,1100
62 L,1323
31 L,774
31 L,724
40.14 L,1115
34.27 L,939
32.15 L,893
32.5 L,904
65 L,980
65 L,1250
22.78 L,670
28.72 L,718
38.5 L,1090
30.8 L,880
37 L,1013
21.45 L,715
33 L,1100
21 L,700
39 L,1300
37.5 L,922
56.5 L,1300
24.15 L,805
27.5 L,781
26.51 L,747
68 L,985
32 L,1008
52 L,832
75 L,1100
80 L,1250
57 L,800
85 L,1350
48 L,990
2.58 Cr,1904
2.31 Cr,1958
1.9 Cr,1646
2.25 Cr,1891
50 L,940
60 L,1268
26.25 L,875
72 L,1040
85 L,1350
1.35 Cr,1583
1.3 Cr,2200
31 L,860
6.5 L,400
1.27 Cr,1208
41 L,850
1.9 Cr,1572
1.05 Cr,1465
30 L,999
1.6 Cr,1750
45 L,1150
33.75 L,1125
24.48 L,816
17.5 L,656
11 L,451
20.03 L,742
21.01 L,821
23 L,867
40.36 L,961
29.91 L,777
31.36 L,871
32.5 L,1300
30.27 L,1081
40.36 L,961
27.54 L,804
37.12 L,1031
1.1 Cr,1268
24.48 L,816
33.72 L,1124
19.37 L,718
30.49 L,1130
23 L,867
15 L,640
30 L,730
55 L,980
55 L,850
75 L,1047
2.75 Cr,1954
1.6 Cr,1421
2 Cr,1712
1.1 Cr,1378
1.15 Cr,1710
2.55 Cr,1975
3.1 Cr,2578
2.65 Cr,2022
1.95 Cr,1512
3.45 Cr,3184
1.98 Cr,1888
1.01 Cr,1707
2.99 Cr,2637
2.46 Cr,1841
4.6 Cr,3945
1.85 Cr,1512
14.5 Cr,5600
2.95 Cr,2623
4.25 Cr,3029
6.1 Cr,4556
85 L,1080
70 L,947
45 L,1550
3.5 Cr,2718
3.5 Cr,2300
88 L,2500
76.5 L,1295
96 L,1490
1.48 Cr,1930
65 L,770
6.88 Cr,3274
3.5 Cr,3470
2.9 Cr,2500
80 L,1295
80 L,1294
1.5 Cr,1335
45 L,941
45 L,976
45 L,972
45.5 L,976
68 L,1295
75 L,1285
68 L,12956
70 L,1284
3.95 Cr,2395
3.68 Cr,3500
1.85 Cr,1750
1.6 Cr,1310
2.25 Cr,1882
1.75 Cr,1925
4.75 Cr,3600
2.98 Cr,2702
4.35 Cr,3000
2.7 Cr,3500
80 L,1444
48 L,840
74.5 L,1496
1.45 Cr,2150
35 L,1226
39 L,1100
22.5 L,639
46 L,1072
23.5 L,935
30 L,825
25 L,826
30.5 L,1173
58 L,1101
52 L,1040
28.13 L,970
65 L,1359
65 L,985
78 L,1231
63.5 L,1007
52 L,1286
42.5 L,1359
43.5 L,1076
41 L,1245
40.27 L,1239
25.16 L,740
38.54 L,1304
25.67 L,870
1.8 Cr,1421
57 L,840
42 L,850
2.65 Cr,3443
2.9 Cr,1982
1 Cr,1328
95 L,1328
1.06 Cr,1328
1.65 Cr,2404
1.79 Cr,2404
90 L,1200
1.02 Cr,1620
45 L,1051
46 L,1050
94 L,1264
1.75 Cr,2100
52.3 L,1275
1.3 Cr,1739
92 L,1267
98 L,1264
1.4 Cr,1720
